Types of use,Baden-Württemberg (Area in sq km),Bayern (Area in sq km),Berlin (Area in sq km),Brandenburg (Area in sq km),Bremen (Area in sq km),Hamburg (Area in sq km),Hessen (Area in sq km),Mecklenburg-Vorpommern (Area in sq km),Niedersachsen (Area in sq km),Nordrhein-Westfalen (Area in sq km),Rheinland-Pfalz (Area in sq km),Saarland (Area in sq km),Sachsen (Area in sq km),Sachsen-Anhalt (Area in sq km),Schleswig-Holstein (Area in sq km),Thüringen (Area in sq km),Year
Housing area,3265.49,5280.19,491.16,2029.39,184.99,351.24,1947.39,1320.81,4447.93,5602.19,1682.04,392.64,1845.36,1569.55,1401.06,958.65,2016
Residential building area,1519.58,2137.67,217.22,637.48,71.15,165.96,913.83,380.91,2024.73,2425.57,667.25,202.09,858.25,365.0,677.62,404.35,2016
Industrial and commercial area,717.21,893.39,66.75,448.36,50.92,68.23,337.11,222.46,798.17,1025.68,286.98,75.69,341.19,303.64,194.82,230.43,2016
Industry and commerce,508.91,475.16,35.67,313.7,35.34,44.46,205.73,148.16,434.28,664.13,179.23,54.71,220.83,164.7,109.07,137.53,2016
Stockpile,13.94,3.35,0.08,9.74,0.54,0.05,9.84,0.53,11.88,47.26,7.89,5.53,20.44,27.03,2.02,13.87,2016
Mining company,0.0,0.06,0.0,0.0,0.0,0.0,0.05,0.01,0.11,26.93,0.06,0.0,0.0,1.34,0.0,0.05,2016
"Open-cast mine, pit, quarry",68.28,155.26,0.06,321.94,0.07,0.24,41.86,57.42,238.36,173.8,47.06,5.86,210.65,106.46,45.07,43.89,2016
Mixed-use area,371.03,1194.6,32.91,251.64,7.85,19.89,239.66,174.02,613.35,690.01,176.45,39.75,51.46,148.97,221.56,79.41,2016
Area with special functional character,166.88,300.66,44.02,67.18,13.54,24.81,119.24,106.61,185.57,321.09,101.74,23.75,82.0,81.63,66.58,44.31,2016
"Sports, leisure and recreation area",371.67,553.54,118.84,269.58,37.76,63.71,256.38,364.9,532.8,801.63,373.5,33.47,264.02,517.27,180.08,130.56,2016
Public park,163.76,186.69,95.49,135.37,29.53,51.09,119.65,296.12,132.89,501.69,255.71,12.03,112.96,440.69,83.52,58.43,2016
Cemetery,36.9,41.65,11.26,23.47,3.16,8.36,29.43,13.95,42.95,90.23,21.09,6.49,17.34,18.2,13.31,11.78,2016
Transport,1977.12,3308.44,136.11,1103.1,52.03,93.85,1436.8,703.59,2453.56,2397.31,1209.19,161.59,809.0,792.51,689.52,705.19,2016
Road transport,978.57,1729.64,101.31,683.79,30.81,65.57,579.36,360.26,1344.52,1350.65,509.74,115.06,473.49,375.93,451.87,328.74,2016
Path,821.71,1307.38,5.63,242.56,7.48,6.07,724.49,235.25,906.78,766.61,594.49,26.43,197.47,310.61,160.12,300.46,2016
Square,36.62,54.84,3.88,16.58,1.59,1.59,23.13,11.94,40.89,65.63,32.71,3.65,16.12,15.07,14.56,7.4,2016
Rail transport,111.55,161.31,20.58,111.03,7.11,10.96,82.14,57.85,127.32,159.69,54.38,14.83,102.14,78.25,33.99,58.79,2016
Air transport,28.22,53.24,4.58,47.98,2.94,9.55,26.95,35.65,29.98,50.58,16.95,1.6,19.77,10.83,25.55,9.79,2016
Waterways transport,0.45,2.03,0.13,1.17,2.11,0.11,0.72,2.63,4.06,4.15,0.92,0.01,0.0,1.82,3.43,0.0,2016
Vegetation,30116.72,60743.47,204.89,25530.57,133.69,249.0,17440.52,19938.52,39767.61,25467.91,16684.8,1991.16,15362.56,17644.91,12948.35,14336.99,2016
Agriculture,16189.33,32850.87,37.5,14468.86,119.29,176.63,8847.33,14426.51,27762.61,16318.35,8184.28,1104.16,10054.98,12376.88,10883.9,8835.9,2016
Forest,13525.64,24871.76,157.52,10307.96,4.61,40.16,8393.06,4902.25,10144.7,8495.07,8054.4,856.23,4951.84,4565.45,1620.14,5279.36,2016
Trees and shrubs,174.62,886.61,6.62,242.46,4.44,18.82,109.54,201.94,522.83,424.87,395.8,14.26,84.8,522.81,54.57,37.33,2016
Heath,12.85,19.11,0.04,126.68,0.66,6.1,1.06,16.84,179.26,49.67,3.33,0.97,27.26,140.43,22.8,1.96,2016
Moor,20.07,125.86,0.45,1.16,0.3,0.47,0.7,28.84,525.55,16.98,0.82,0.02,0.62,1.09,88.01,0.34,2016
Mire,3.02,22.29,0.54,37.24,2.47,2.08,4.32,128.04,64.67,15.05,5.14,0.28,5.17,35.31,42.04,1.66,2016
"Infertile land, area without vegetation",191.18,1966.97,2.22,346.21,1.92,4.73,84.5,234.09,568.0,147.93,41.03,15.23,237.9,2.94,236.91,180.45,2016
Water body,388.94,1209.92,58.96,991.32,49.24,61.01,290.96,1329.82,1040.72,645.33,281.97,25.72,433.08,445.18,765.26,201.54,2016
Body of running water,281.46,500.29,30.37,339.03,39.11,42.85,217.93,198.61,674.94,355.16,219.69,20.5,146.12,243.22,274.92,108.85,2016
Port basin,5.17,1.66,0.6,0.71,5.79,7.43,1.34,5.99,11.98,8.35,4.5,0.11,0.53,1.86,18.03,0.0,2016
Body of standing water,102.31,707.97,27.99,651.58,4.34,6.47,71.69,934.73,330.55,281.81,57.78,5.1,286.42,200.1,357.16,92.69,2016
Sea,0.0,0.0,0.0,0.0,0.0,4.25,0.0,190.49,23.26,0.0,0.0,0.0,0.0,0.0,115.15,0.0,2016
Housing area,3289.42,5314.71,492.42,2029.96,185.26,350.71,1958.89,1290.38,4455.37,5632.24,1685.62,393.01,1853.69,1569.22,1413.75,1071.33,2017
Residential building area,1534.74,2151.37,218.66,643.18,70.19,166.49,916.35,383.22,2037.82,2430.66,674.41,202.81,860.57,367.89,679.87,385.43,2017
Industrial and commercial area,727.04,902.94,66.76,445.45,51.27,66.94,340.3,223.09,794.31,1025.84,289.3,75.8,345.95,304.31,197.99,248.55,2017
Industry and commerce,515.9,476.59,36.21,309.15,35.54,44.59,208.15,147.62,459.13,662.68,179.7,54.71,223.67,165.27,110.0,154.91,2017
Stockpile,14.08,3.29,0.09,9.75,0.57,0.05,9.37,0.52,11.61,45.41,7.01,5.53,20.15,26.71,2.08,13.31,2017
Mining company,0.0,0.06,0.0,0.0,0.0,0.0,0.05,0.01,0.29,6.71,0.06,0.0,0.0,1.34,0.0,0.7,2017
"Open-cast mine, pit, quarry",69.65,156.11,0.06,321.1,0.07,0.24,41.91,56.36,231.72,194.41,47.15,5.86,202.14,104.24,45.66,41.87,2017
Mixed-use area,364.58,1202.12,31.86,248.47,7.82,19.61,241.27,174.02,613.69,693.65,176.82,39.22,54.54,149.23,224.08,95.69,2017
Area with special functional character,166.37,301.32,43.99,68.41,13.5,24.71,121.69,72.66,189.57,321.1,103.79,23.79,82.53,81.53,67.14,43.76,2017
"Sports, leisure and recreation area",376.05,555.74,119.82,270.06,38.7,64.3,258.5,366.72,533.39,824.32,366.0,33.51,270.42,515.77,183.6,230.47,2017
Public park,166.65,188.89,95.71,134.6,30.39,50.65,121.13,296.95,275.22,524.12,248.29,12.07,115.96,437.69,84.57,154.85,2017
Cemetery,36.92,41.76,11.17,23.55,3.15,8.37,29.45,13.79,42.98,90.15,21.09,6.49,17.37,18.21,13.33,11.56,2017
Transport,1983.24,3317.43,135.82,1103.73,52.04,94.79,1439.0,704.02,2463.55,2390.49,1204.26,161.78,810.28,792.85,689.65,703.48,2017
Road transport,981.88,1735.79,101.21,682.95,30.61,66.52,580.32,360.61,1336.22,1331.73,510.37,115.24,475.09,374.65,452.88,320.34,2017
Path,824.16,1306.86,5.62,245.04,7.75,6.09,726.13,235.83,921.89,784.09,589.34,26.44,197.84,312.52,161.24,306.92,2017
